kernel,n_total,B,scheme,Lambda,t_pilot,t_hessian0,t_recursion,t_terminal,t_anchors,t_total
auc,1000,10,WOR,24.9,0.0005674269928131252,0.0009461480233585462,0.022580304385512135,0.0007735389570007101,0.0013694702681386842,0.026280524171190336
auc,1000,100,WOR,24.75,0.000314335078233853,0.0005734668590594083,0.0028051178436726333,0.0007248659904580564,0.0012887298704590648,0.005737174167647027
auc,10000,10,WOR,33.2175,0.0007563012810423971,0.00111947254545521,0.31124558017775417,0.0009896500275935977,0.014202749619376846,0.3283610195298679
auc,10000,100,WOR,33.2,0.0004629393541254103,0.0006667001738678664,0.039019264458445835,0.0009877895392710343,0.014333387098391541,0.05550793825194705
auc,100000,10,WOR,41.524,0.0013248529200209304,0.0015390668405452744,3.9866519131851383,0.001370287551311776,0.1537822909845272,4.1447226060869875
auc,100000,100,WOR,41.5225,0.0008828781668562442,0.0010837223721900954,0.5391556757040089,0.0012376026196870952,0.1533193426844664,0.6957220285241492
rank,1000,10,WOR,9.96,0.001305596265825443,0.001348075358546339,0.028690099278115666,0.0011749365410069004,0.0020889194766059516,0.03465150975773577
rank,1000,100,WOR,9.9,0.000798777412623167,0.0009466246165102348,0.0036871094617526978,0.0011175789217231795,0.0020613064692588524,0.008645177584607155
rank,10000,10,WOR,13.287,0.001417658633319661,0.002729927051695995,0.38748194655810947,0.0023285988214192914,0.022064020563033408,0.4160693403285695
rank,10000,100,WOR,13.28,0.0008864202898694202,0.001860091391019523,0.05094189917866606,0.00234258850896731,0.021887793628382498,0.07795693840796594
rank,100000,10,WOR,16.6096,0.0017571976133622228,0.004296646834467538,4.947616765626357,0.0043383896171581,0.2348800356152933,5.192939360021381
rank,100000,100,WOR,16.609,0.0012613995873834937,0.0037068954028654844,0.678809189592721,0.004261248260387219,0.23691681537416298,0.9249974572169595
triplet,1000,10,WOR,9.96,0.0016929810881847515,0.003646176511538215,0.22051387016824447,0.002872400173684582,0.009033754378906451,0.23780673896323423
triplet,1000,100,WOR,9.9,0.0009890339206904172,0.002501473478041589,0.030442794191883876,0.0028796888487413524,0.008955770931905135,0.045806634485372345
triplet,10000,10,WOR,13.287,0.00199640056269709,0.0037463577900780365,3.0364408445887965,0.0033000302866566925,0.10706706724222749,3.1526010989664357
triplet,10000,100,WOR,13.28,0.001347855803440325,0.0029858781995717436,0.4265365209210431,0.0032024480627151205,0.10601442071562633,0.5401300674846862
triplet,100000,10,WOR,16.6096,0.0038997686989605427,0.0032592842289013786,37.969880253371315,0.003955298908171244,1.2259034998652059,39.20694280418963
triplet,100000,100,WOR,16.609,0.0038136604559840634,0.003438258328824304,5.443135790172499,0.004039256723364815,1.2263786152543035,6.680857046961435
