kernel,n_total,n1,B,scheme,Lambda,lambda_B,R,T,t0,steps,BT,Bt0,m0,m,P,v_emp,v_data,v_alg,v_pred,ratio_emp_pred,alg_share,bias_abs,cov_full,cov_data_only,mcse_cov,pilot_ok_frac,pilot_gradnorm_max,floor_frac,kappa_max,zeta_projected_frac,zeta_proj_moved_mean,finite_frac,D0_same_across_B,t_pilot,t_hessian0,t_recursion,t_terminal,t_anchors,t_total
auc,1000,400,10,WOR,24.9,2.49,1000,996,10,986,9960,100,8192,8192,16,0.006011375181099682,0.005497314860293992,0.00035308046901528833,0.00585039532930928,1.0275343384097697,0.06032571671537842,0.003472858167472781,0.9496666666666667,0.9413333333333334,0.006892024376045111,1.0,3.1697995807047928e-09,0.0,3.2336952974107116,0.0,0.0,1.0,True,0.0005674269928131252,0.0009461480233585462,0.022580304385512135,0.0007735389570007101,0.0013694702681386842,0.026280524171190336
auc,1000,400,100,WOR,24.75,0.2475,1000,99,1,98,9900,100,8192,8192,16,0.006058588865443634,0.0054980624691202155,0.0003551822517407913,0.005853244720861007,1.0350469731334029,0.06065499740284703,0.0033006073421258018,0.9476666666666667,0.94,0.006892024376045111,1.0,3.1697995807047928e-09,0.0,3.2336952974107116,0.0,0.0,1.0,True,0.000314335078233853,0.0005734668590594083,0.0028051178436726333,0.0007248659904580564,0.0012887298704590648,0.005737174167647027
auc,10000,4000,10,WOR,33.2175,3.32175,1000,13287,30,13257,132870,300,8192,8192,16,0.0005539641661750601,0.0005428350623576773,2.6064021483199768e-05,0.0005688990838408772,0.9737481907297353,0.04580112987080304,0.00038288046378775104,0.954,0.949,0.006892024376045111,1.0,3.746827529065645e-09,0.0,2.2047159091852198,0.0,0.0,1.0,True,0.0007563012810423971,0.00111947254545521,0.31124558017775417,0.0009896500275935977,0.014202749619376846,0.3283610195298679
auc,10000,4000,100,WOR,33.2,0.332,1000,1328,3,1325,132800,300,8192,8192,16,0.0005550036585675228,0.0005431130563366468,2.6094212442387962e-05,0.0005692072687790349,0.9750839133000495,0.045828929982898454,0.0005155430447559192,0.9543333333333334,0.9483333333333334,0.006892024376045111,1.0,3.746827529065645e-09,0.0,2.2047159091852198,0.0,0.0,1.0,True,0.0004629393541254103,0.0006667001738678664,0.039019264458445835,0.0009877895392710343,0.014333387098391541,0.05550793825194705
auc,100000,40000,10,WOR,41.524,4.1524,1000,166096,100,165996,1660960,1000,8192,8192,16,5.7213967376616315e-05,5.433761344557163e-05,2.083619700115531e-06,5.642123314568715e-05,1.014129438335745,0.036920088708710413,0.00021016973437324818,0.9523333333333334,0.95,0.006892024376045111,1.0,3.6036090211055173e-09,0.0,1.6931602340434966,0.0,0.0,1.0,True,0.0013248529200209304,0.0015390668405452744,3.9866519131851383,0.001370287551311776,0.1537822909845272,4.1447226060869875
auc,100000,40000,100,WOR,41.5225,0.415225,1000,16609,10,16599,1660900,1000,8192,8192,16,5.754908006054928e-05,5.433750250328083e-05,2.083667192824649e-06,5.6421169696105476e-05,1.0200364402637858,0.03692097367641461,0.0002037834521217511,0.952,0.9466666666666667,0.006892024376045111,1.0,3.6036090211055173e-09,0.0,1.6931602340434966,0.0,0.0,1.0,True,0.0008828781668562442,0.0010837223721900954,0.5391556757040089,0.0012376026196870952,0.1533193426844664,0.6957220285241492
rank,1000,1000,10,WOR,9.96,0.996,1000,996,10,986,9960,100,9261,9261,16,0.0012023884825559882,0.0010570080656331882,0.00014434714482332384,0.0012013552104565121,1.000975428149255,0.12015371874015063,0.0003975167606110608,0.9465,0.929,0.006892024376045111,1.0,5.8388939432005045e-09,0.0,1.3842418808898667,0.0,0.0,1.0,True,0.001305596265825443,0.001348075358546339,0.028690099278115666,0.0011749365410069004,0.0020889194766059516,0.03465150975773577
rank,1000,1000,100,WOR,9.9,0.099,1000,99,1,98,9900,100,9261,9261,16,0.0011921775572471156,0.0010567684390571741,0.00014515178400844055,0.0012019202230656146,0.9919538832675048,0.12076670307143866,0.00044463884126885733,0.95,0.9355,0.006892024376045111,1.0,5.8388939432005045e-09,0.0,1.398347379150033,0.0,0.0,1.0,True,0.000798777412623167,0.0009466246165102348,0.0036871094617526978,0.0011175789217231795,0.0020613064692588524,0.008645177584607155
rank,10000,10000,10,WOR,13.287,1.3287,1000,13287,30,13257,132870,300,16490,16490,16,0.00011652814528934585,0.00010543191208864302,1.1249835247122307e-05,0.00011668174733576532,0.9984714119628602,0.09641477234981177,0.000270689715867134,0.949,0.9315,0.006892024376045111,1.0,6.060891067578673e-09,0.0,1.2601068429839501,0.0,0.0,1.0,True,0.001417658633319661,0.002729927051695995,0.38748194655810947,0.0023285988214192914,0.022064020563033408,0.4160693403285695
rank,10000,10000,100,WOR,13.28,0.1328,1000,1328,3,1325,132800,300,16490,16490,16,0.00011818552189491367,0.00010544737008931916,1.1257177745670857e-05,0.00011670454783499002,1.0126048240507353,0.096458850745463,0.00024587661659888904,0.9435,0.9305,0.006892024376045111,1.0,6.060891067578673e-09,0.0,1.2601068429839501,0.0,0.0,1.0,True,0.0008864202898694202,0.001860091391019523,0.05094189917866606,0.00234258850896731,0.021887793628382498,0.07795693840796594
