cell_id,route,c2_scope,problem,panel,N,p,s,K,s_upper_bound,design,law,sparsity_information,cell_index,n_records,n_ok,n_numerical_failure,n_selection_failure_empty,n_program_or_schema_error,n_other_status,n_empty_selection,n_interval_reportable,n_total_failure,n_containment,containment,containment_se,n_containment_selected,containment_selected,containment_selected_se,n_containment_candidate_raw_field,n_containment_selected_raw_naive,n_exact_recovery,exact_recovery,exact_recovery_se,n_exact_recovery_recomputed_ok_only,n_recovery_field_vs_recomputed_mismatch,n_naive_recovery_bug,naive_recovery_bug_excess,n_strict_simultaneous_coverage,strict_simultaneous_coverage,strict_simultaneous_coverage_se,n_coverage_conditional_numerator,n_coverage_numerator_not_subset_of_recovery,coverage_conditional_on_exact_recovery,coverage_conditional_on_exact_recovery_se,coverage_conditional_denominator,n_active_joint_coverage_field,mean_interval_width,mean_interval_width_se,mean_interval_width_n,n_width_missing_among_ok,n_computational_failure,computational_failure_rate,computational_failure_rate_se,false_negative_count_reportable,false_negative_count_including_empty_selection,false_negative_count_including_all_nonok,false_negative_denominator_reportable_records,false_negative_denominator_all_records,false_negative_rate_per_active_coord_reportable,false_negative_rate_per_active_coord_all,n_records_with_any_false_negative,false_positive_count,n_records_with_any_false_positive,false_positive_rate_per_record_reportable,n_tail_boundary_hits_positive,false_negative_rate_per_active_coord_reportable_se,false_negative_rate_per_active_coord_all_se,false_negative_record_rate_reportable,false_negative_record_rate_reportable_se,false_negative_record_rate_all,false_negative_record_rate_all_se,false_positive_record_rate_reportable,false_positive_record_rate_reportable_se,empty_selection_rate,empty_selection_rate_se,n_ok_rate,n_ok_rate_se
auc_N1000_p2000_s3_identity_law1,known_s,interior,auc,IDENTITY_REFERENCE,1000,2000,3,6,6,identity,1,exact_s_known,126,1000,1000,0,0,0,0,0,1000,0,1000,1.0,0.0,1000,1.0,0.0,1000,1000,1000,1.0,0.0,1000,0,1000,0,969,0.969,0.0054807846,969,0,0.969,0.0054807846,1000,969,0.8675794467,0.0024609711,1000,0,0,0.0,0.0,0,0,0,1000,1000,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
auc_N1000_p2000_s3_identity_law1,unknown_s,interior,auc,IDENTITY_REFERENCE,1000,2000,3,6,6,identity,1,upper_bound_K_known,126,1000,1000,0,0,0,0,0,1000,0,1000,1.0,0.0,1000,1.0,0.0,1000,1000,1000,1.0,0.0,1000,0,1000,0,969,0.969,0.0054807846,969,0,0.969,0.0054807846,1000,969,0.8675794467,0.0024609711,1000,0,0,0.0,0.0,0,0,0,1000,1000,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
auc_N1000_p2000_s3_identity_law2,known_s,interior,auc,IDENTITY_REFERENCE,1000,2000,3,6,6,identity,2,exact_s_known,127,1000,1000,0,0,0,0,0,1000,0,1000,1.0,0.0,1000,1.0,0.0,1000,1000,1000,1.0,0.0,1000,0,1000,0,945,0.945,0.0072093689,945,0,0.945,0.0072093689,1000,945,0.9293316411,0.003154326,1000,0,0,0.0,0.0,0,0,0,1000,1000,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
auc_N1000_p2000_s3_identity_law2,unknown_s,interior,auc,IDENTITY_REFERENCE,1000,2000,3,6,6,identity,2,upper_bound_K_known,127,1000,1000,0,0,0,0,0,1000,0,1000,1.0,0.0,1000,1.0,0.0,1000,1000,1000,1.0,0.0,1000,0,1000,0,945,0.945,0.0072093689,945,0,0.945,0.0072093689,1000,945,0.9293316411,0.003154326,1000,0,0,0.0,0.0,0,0,0,1000,1000,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
auc_N1000_p2000_s3_identity_law3,known_s,interior,auc,IDENTITY_REFERENCE,1000,2000,3,6,6,identity,3,exact_s_known,128,1000,1000,0,0,0,0,0,1000,0,1000,1.0,0.0,1000,1.0,0.0,1000,1000,1000,1.0,0.0,1000,0,1000,0,947,0.947,0.0070845607,947,0,0.947,0.0070845607,1000,947,0.9026673184,0.0028316102,1000,0,0,0.0,0.0,0,0,0,1000,1000,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
auc_N1000_p2000_s3_identity_law3,unknown_s,interior,auc,IDENTITY_REFERENCE,1000,2000,3,6,6,identity,3,upper_bound_K_known,128,1000,1000,0,0,0,0,0,1000,0,1000,1.0,0.0,1000,1.0,0.0,1000,1000,1000,1.0,0.0,1000,0,1000,0,947,0.947,0.0070845607,947,0,0.947,0.0070845607,1000,947,0.9026673184,0.0028316102,1000,0,0,0.0,0.0,0,0,0,1000,1000,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
auc_N1000_p2000_s3_identity_law4,known_s,interior,auc,IDENTITY_REFERENCE,1000,2000,3,6,6,identity,4,exact_s_known,129,1000,1000,0,0,0,0,0,1000,0,1000,1.0,0.0,1000,1.0,0.0,1000,1000,1000,1.0,0.0,1000,0,1000,0,941,0.941,0.0074511073,941,0,0.941,0.0074511073,1000,941,0.9632616844,0.0034951629,1000,0,0,0.0,0.0,0,0,0,1000,1000,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
auc_N1000_p2000_s3_identity_law4,unknown_s,interior,auc,IDENTITY_REFERENCE,1000,2000,3,6,6,identity,4,upper_bound_K_known,129,1000,1000,0,0,0,0,0,1000,0,1000,1.0,0.0,1000,1.0,0.0,1000,1000,1000,1.0,0.0,1000,0,1000,0,941,0.941,0.0074511073,941,0,0.941,0.0074511073,1000,941,0.9632616844,0.0034951629,1000,0,0,0.0,0.0,0,0,0,1000,1000,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
auc_N1000_p2000_s3_identity_law5,known_s,boundary,auc,IDENTITY_REFERENCE,1000,2000,3,6,6,identity,5,exact_s_known,130,1000,1000,0,0,0,0,0,1000,0,1000,1.0,0.0,1000,1.0,0.0,1000,1000,1000,1.0,0.0,1000,0,1000,0,933,0.933,0.0079063898,933,0,0.933,0.0079063898,1000,933,0.9614797062,0.0038064474,1000,0,0,0.0,0.0,0,0,0,1000,1000,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
auc_N1000_p2000_s3_identity_law5,unknown_s,boundary,auc,IDENTITY_REFERENCE,1000,2000,3,6,6,identity,5,upper_bound_K_known,130,1000,1000,0,0,0,0,0,1000,0,1000,1.0,0.0,1000,1.0,0.0,1000,1000,1000,1.0,0.0,1000,0,1000,0,933,0.933,0.0079063898,933,0,0.933,0.0079063898,1000,933,0.9614797062,0.0038064474,1000,0,0,0.0,0.0,0,0,0,1000,1000,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
auc_N1000_p2000_s3_identity_law6,known_s,boundary,auc,IDENTITY_REFERENCE,1000,2000,3,6,6,identity,6,exact_s_known,131,1000,1000,0,0,0,0,0,1000,0,1000,1.0,0.0,1000,1.0,0.0,1000,1000,1000,1.0,0.0,1000,0,1000,0,942,0.942,0.0073916169,942,0,0.942,0.0073916169,1000,942,1.0253035088,0.0042890545,1000,0,0,0.0,0.0,0,0,0,1000,1000,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
